47	0	0	14
47	0	1	7
47	0	2	10
47	0	3	14
47	0	4	12
47	0	5	9
47	0	6	13
47	0	7	14
47	0	8	9
47	0	9	13
47	0	10	11
47	0	11	12
47	0	12	9
47	0	13	14
47	0	14	10
47	0	15	11
47	0	16	12
47	0	17	9
47	0	18	13
47	0	19	12
47	0	20	1
47	0	21	2
47	0	22	3
47	0	23	9
47	0	24	8
47	0	25	12
47	0	26	7
47	0	27	14
47	0	28	6
47	0	29	12
47	0	30	14
47	0	31	11
47	0	32	13
47	0	33	7
47	0	34	8
47	0	35	13
47	0	36	6
47	0	37	8
47	0	38	7
47	0	39	10
47	0	40	11
47	0	41	13
47	0	42	4
47	0	43	5
47	0	44	9
47	0	45	14
47	0	46	11
47	0	47	6
47	0	48	8
47	0	49	10
47	0	50	7
47	0	51	6
47	0	52	12
47	0	53	9
47	0	54	7
47	0	55	10
47	0	56	13
47	0	57	6
47	0	58	8
47	0	59	11
47	0	60	12
47	0	61	8
47	0	62	11
47	0	63	6
47	0	64	14
47	0	65	10
47	0	66	9
47	0	67	14
47	0	68	10
47	0	69	11
47	0	70	13
47	0	71	10
47	0	72	8
47	0	73	11
47	0	74	9
47	0	75	6
47	0	76	13
47	0	77	7
47	0	78	10
47	0	79	12
47	1	0	13
47	1	1	12
47	1	2	6
47	1	3	13
47	1	4	10
47	1	5	7
47	1	6	12
47	1	7	13
47	1	8	9
47	1	9	14
47	1	10	13
47	1	11	12
47	1	12	11
47	1	13	7
47	1	14	14
47	1	15	10
47	1	16	9
47	1	17	12
47	1	18	11
47	1	19	13
47	1	20	1
47	1	21	2
47	1	22	3
47	1	23	11
47	1	24	8
47	1	25	12
47	1	26	14
47	1	27	9
47	1	28	13
47	1	29	11
47	1	30	12
47	1	31	14
47	1	32	10
47	1	33	13
47	1	34	11
47	1	35	12
47	1	36	14
47	1	37	10
47	1	38	13
47	1	39	11
47	1	40	14
47	1	41	12
47	1	42	4
47	1	43	5
47	1	44	13
47	1	45	9
47	1	46	7
47	1	47	10
47	1	48	6
47	1	49	9
47	1	50	12
47	1	51	14
47	1	52	6
47	1	53	10
47	1	54	13
47	1	55	7
47	1	56	9
47	1	57	12
47	1	58	6
47	1	59	10
47	1	60	8
47	1	61	6
47	1	62	14
47	1	63	7
47	1	64	8
47	1	65	14
